true_snr,ridge_mae,cnn_mae,cnn_mae_sd,ridge_bias,cnn_bias
-20,11.6850,6.1909,0.6425,11.6250,6.1909
-18,9.8794,4.2646,0.6521,9.7469,4.2625
-16,8.2121,2.5738,0.5497,7.9443,2.4827
-14,6.4673,1.7365,0.1651,5.9254,0.9681
-12,5.1432,2.0967,0.2877,4.0879,-0.3638
-10,4.0960,2.9336,0.3811,2.1666,-1.3104
-8,3.5001,3.2585,0.3390,0.8715,-1.7707
-6,3.4290,2.8567,0.2280,-0.2713,-1.7245
-4,3.5735,2.2355,0.1072,-1.2676,-1.3729
-2,3.1277,2.0723,0.0766,-0.9718,-1.3606
0,2.9806,2.2182,0.0323,-0.2420,-1.6198
2,3.7106,2.3171,0.0580,0.7240,-1.6602
4,4.3332,2.5636,0.0610,0.3497,-1.8484
6,4.7397,2.8056,0.0732,-0.6091,-2.0253
8,5.1089,3.0459,0.0619,-2.1342,-2.1544
10,5.6401,3.1596,0.0448,-3.8799,-2.2389
12,6.1570,3.2598,0.0375,-5.5921,-2.3247
14,7.7540,3.5127,0.0895,-7.6630,-2.8138
16,9.5503,3.8170,0.3434,-9.5023,-3.5025
18,11.5821,4.7511,0.5582,-11.4746,-4.7030
