model,condition,accuracy_mean,accuracy_sd,gain_vs_m0_mean,gain_vs_m0_sd,drop_vs_oracle_mean,drop_vs_oracle_sd
M3,oracle,0.6680,0.0023,0.0498,0.0016,0.0000,0.0000
M3,ridge,0.5616,0.0020,-0.0566,0.0026,-0.1063,0.0032
M3,tinycnn,0.5657,0.0072,-0.0525,0.0073,-0.1023,0.0075
M6,oracle,0.6673,0.0014,0.0491,0.0013,0.0000,0.0000
M6,ridge,0.5385,0.0033,-0.0797,0.0024,-0.1288,0.0028
M6,tinycnn,0.5551,0.0040,-0.0631,0.0043,-0.1121,0.0040
M0,none,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000
M0,none,0.6182,0.0000,0.0000,0.0000,0.0000,0.0000
M0,none,0.6170,0.0000,0.0000,0.0000,0.0000,0.0000
M0,none,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000
M0,none,0.6197,0.0000,0.0000,0.0000,0.0000,0.0000
